date,ts_code,open,high,low,close,pre_close,change,pct_chg,volume,amount,returns,logReturns,ma5,ma20,ma60,volatility
2023-07-17,600123.SH,8.4,8.49,8.38,8.47,8.55,-0.08,-0.9357,65608.5,55408.678,,,,,,
2023-07-18,600123.SH,8.49,8.52,8.45,8.47,8.47,0.0,0.0,47488.31,40244.485,0.0,0.0,,,,
2023-07-19,600123.SH,8.45,8.54,8.44,8.53,8.47,0.06,0.7084,65304.63,55510.008,0.007083825265643329,0.007058852839624607,,,,
2023-07-20,600123.SH,8.59,9.05,8.57,8.91,8.53,0.38,4.4549,414603.57,368297.607,0.04454865181711609,0.04358487997913022,,,,
2023-07-21,600123.SH,8.88,8.9,8.7,8.73,8.91,-0.18,-2.0202,157468.77,137797.322,-0.02020202020202022,-0.020408871631207123,8.622,,,
2023-07-24,600123.SH,8.72,8.73,8.57,8.6,8.73,-0.13,-1.4891,90180.93,77867.837,-0.014891179839633506,-0.015003166592048848,8.648,,,
2023-07-25,600123.SH,8.65,8.79,8.65,8.72,8.6,0.12,1.3953,121692.81,106249.347,0.013953488372093092,0.01385703466142628,8.697999999999999,,,
2023-07-26,600123.SH,8.8,8.88,8.77,8.81,8.72,0.09,1.0321,126673.54,111678.348,0.010321100917431103,0.010268202027199792,8.754000000000001,,,
2023-07-27,600123.SH,8.78,8.87,8.77,8.79,8.81,-0.02,-0.227,84740.94,74724.276,-0.00227014755959154,-0.0022727282510026777,8.73,,,
2023-07-28,600123.SH,8.75,8.92,8.73,8.9,8.79,0.11,1.2514,118955.45,105248.197,0.012514220705347023,0.012436565041008563,8.764,,,
2023-07-31,600123.SH,8.95,9.07,8.85,8.86,8.9,-0.04,-0.4494,149431.89,133414.086,-0.004494382022471988,-0.004504512121104653,8.815999999999999,,,
2023-08-01,600123.SH,8.9,8.93,8.82,8.85,8.86,-0.01,-0.1129,119296.8,105639.26,-0.0011286681715575453,-0.001129305597151414,8.842,,,
2023-08-02,600123.SH,8.85,8.86,8.68,8.7,8.85,-0.15,-1.6949,121382.2,106018.289,-0.016949152542372947,-0.017094433359300183,8.819999999999999,,,
2023-08-03,600123.SH,8.65,8.74,8.63,8.7,8.7,0.0,0.0,68404.13,59424.179,0.0,0.0,8.802,,,
2023-08-04,600123.SH,8.78,8.8,8.64,8.65,8.7,-0.05,-0.5747,92403.32,80369.171,-0.005747126436781436,-0.0057637047167499065,8.751999999999999,,,
2023-08-07,600123.SH,8.55,8.58,8.41,8.52,8.65,-0.13,-1.5029,151452.85,128285.963,-0.015028901734104094,-0.015142980102563638,8.684000000000001,,,
2023-08-08,600123.SH,8.58,8.84,8.54,8.76,8.52,0.24,2.8169,229457.17,200678.646,0.028169014084507005,0.02777956410707567,8.666,,,
2023-08-09,600123.SH,8.74,8.8,8.64,8.65,8.76,-0.11,-1.2557,84349.9,73379.84,-0.012557077625570678,-0.012636584004512019,8.655999999999999,,,
2023-08-10,600123.SH,8.72,8.95,8.66,8.93,8.65,0.28,3.237,198829.74,176374.328,0.032369942196531776,0.03185707394461971,8.702,,,
2023-08-11,600123.SH,8.85,8.94,8.68,8.69,8.93,-0.24,-2.6876,131358.44,115101.468,-0.026875699888017968,-0.02724345561110706,8.709999999999999,8.712,,
2023-08-14,600123.SH,8.62,8.67,8.55,8.64,8.69,-0.05,-0.5754,83125.09,71560.804,-0.00575373993095496,-0.005770356461336255,8.734,8.7205,,0.29187342698083424
2023-08-15,600123.SH,8.62,8.69,8.55,8.66,8.64,0.02,0.2315,67812.16,58555.396,0.0023148148148146586,0.0023121397583793788,8.714,8.73,,0.2918677919385919
2023-08-16,600123.SH,8.63,8.67,8.59,8.62,8.66,-0.04,-0.4619,42926.79,37061.765,-0.004618937644341958,-0.004629637898742217,8.708,8.7345,,0.29173153144179814
2023-08-17,600123.SH,8.6,8.64,8.47,8.63,8.62,0.01,0.116,73936.68,63338.804,0.0011600928074246841,0.0011594204197349384,8.648,8.7205,,0.24154042260797529
2023-08-18,600123.SH,8.66,8.73,8.55,8.57,8.63,-0.06,-0.6952,71954.78,62145.645,-0.006952491309385911,-0.006976772485648204,8.623999999999999,8.7125,,0.23232660663702273
2023-08-21,600123.SH,8.57,8.67,8.48,8.49,8.57,-0.08,-0.9335,75139.48,64130.983,-0.009334889148191361,-0.009378732286432469,8.594000000000001,8.706999999999999,,0.22867269137455326
2023-08-22,600123.SH,8.53,8.58,8.43,8.53,8.49,0.04,0.4711,80690.38,68604.656,0.004711425206124664,0.004700361180331614,8.568000000000001,8.6975,,0.22318806991772658
2023-08-23,600123.SH,8.56,8.83,8.55,8.72,8.53,0.19,2.2274,221533.74,193917.078,0.022274325908558268,0.022029876417300743,8.588000000000001,8.693,,0.23495791813528977
2023-08-24,600123.SH,8.7,8.76,8.57,8.7,8.72,-0.02,-0.2294,122155.1,105765.213,-0.002293577981651529,-0.002296212260350379,8.602,8.688500000000001,,0.23496039329474572
2023-08-25,600123.SH,8.68,8.68,8.53,8.56,8.7,-0.14,-1.6092,80482.54,69196.869,-0.016091954022988353,-0.016222835506887145,8.6,8.6715,,0.23602803372644285
2023-08-28,600123.SH,8.89,8.95,8.77,8.8,8.56,0.24,2.8037,307564.81,272457.162,0.028037383177570208,0.027651531330510164,8.662,8.6685,,0.25836908106767353
2023-08-29,600123.SH,8.78,8.85,8.73,8.76,8.8,-0.04,-0.4545,206559.76,181524.555,-0.00454545454545463,-0.004555816535860802,8.708,8.663999999999998,,0.25881366196297323
2023-08-30,600123.SH,8.77,8.79,8.54,8.58,8.76,-0.18,-2.0548,195865.17,169287.474,-0.020547945205479423,-0.020761991448429128,8.68,8.658,,0.26216197227856286
2023-08-31,600123.SH,8.58,8.67,8.53,8.57,8.58,-0.01,-0.1166,96429.59,82805.961,-0.0011655011655011815,-0.0011661808901825075,8.654,8.6515,,0.2621612690202912
2023-09-01,600123.SH,8.62,9.07,8.62,9.01,8.57,0.44,5.1342,445321.09,397081.284,0.05134189031505243,0.05006733901055805,8.744,8.669500000000001,,0.3194297260158293
