date,ts_code,open,high,low,close,pre_close,change,pct_chg,volume,amount,returns,logReturns,ma5,ma20,ma60,volatility
2023-07-07,002230.SZ,67.19,69.99,64.11,68.61,67.14,1.47,2.1895,1088187.35,7339788.985,,,,,,
2023-07-10,002230.SZ,67.71,67.9,65.66,65.89,68.61,-2.72,-3.9644,735916.89,4882647.418,-0.039644366710392065,-0.040451611777070934,,,,
2023-07-11,002230.SZ,65.9,69.69,65.89,69.17,65.89,3.28,4.978,989335.68,6777281.284,0.04977993625739874,0.04858055768676487,,,,
2023-07-12,002230.SZ,68.19,69.8,67.66,68.15,69.17,-1.02,-1.4746,814739.91,5575304.284,-0.014746277287841503,-0.014856084469951682,,,,
2023-07-13,002230.SZ,68.35,69.48,64.88,68.34,68.15,0.19,0.2788,1127550.52,7507820.136,0.0027879677182685025,0.0027840885446041293,68.03200000000001,,,
2023-07-14,002230.SZ,69.0,72.17,68.9,70.19,68.34,1.85,2.7071,1003016.27,7106430.366,0.027070529704418922,0.026710604055184186,68.348,,,
2023-07-17,002230.SZ,69.05,72.0,68.78,70.0,70.19,-0.19,-0.2707,536020.46,3768444.072,-0.002706938310300555,-0.0027106086929710666,69.17,,,
2023-07-18,002230.SZ,70.1,70.7,67.1,67.13,70.0,-2.87,-4.1,613723.1,4215092.082,-0.041000000000000036,-0.04186420409869887,68.762,,,
2023-07-19,002230.SZ,69.36,70.5,67.45,67.76,67.13,0.63,0.9385,559071.46,3846273.301,0.009384775808133572,0.009341012393138894,68.684,,,
2023-07-20,002230.SZ,68.05,68.3,63.98,64.05,67.76,-3.71,-5.4752,782391.67,5120828.255,-0.0547520661157026,-0.05630802200105583,67.826,,,
2023-07-21,002230.SZ,63.77,65.68,63.4,64.58,64.05,0.53,0.8275,439488.07,2835459.893,0.00827478532396575,0.008240736987386001,66.704,,,
2023-07-24,002230.SZ,64.0,65.74,62.66,63.41,64.58,-1.17,-1.8117,581543.45,3720748.98,-0.018117064106534575,-0.018283187618188947,65.386,,,
2023-07-25,002230.SZ,64.45,65.2,63.06,64.31,63.41,0.9,1.4193,526144.22,3378609.811,0.014193344898281168,0.014093562434831668,64.822,,,
2023-07-26,002230.SZ,64.0,64.2,62.13,62.72,64.31,-1.59,-2.4724,519644.64,3271154.997,-0.024723993158140334,-0.025034764104619453,63.814,,,
2023-07-27,002230.SZ,62.7,63.49,62.1,62.35,62.72,-0.37,-0.5899,311576.62,1952652.72,-0.005899234693877542,-0.005916703916106942,63.474000000000004,,,
