date,ts_code,open,high,low,close,pre_close,change,pct_chg,volume,amount,returns,logReturns,ma5,ma20,ma60,volatility
2024-07-29,600036.SH,32.38,32.65,32.2,32.45,32.37,0.08,0.2471,413475.33,1343740.115,,,,,,
2024-07-30,600036.SH,32.4,32.59,32.15,32.42,32.45,-0.03,-0.0924,390781.61,1264925.929,-0.0009244992295840415,-0.0009249268425690235,,,,
2024-07-31,600036.SH,32.42,33.0,32.25,32.73,32.42,0.31,0.9562,595369.65,1948675.368,0.009561998766193458,0.00951657220555885,,,,
2024-08-01,600036.SH,32.73,32.85,32.27,32.71,32.73,-0.02,-0.0611,409138.81,1332771.463,-0.0006110601894285805,-0.0006112469627965215,,,,
2024-08-02,600036.SH,32.42,32.6,32.23,32.28,32.71,-0.43,-1.3146,386130.24,1250037.017,-0.013145826964231166,-0.013232998148544539,32.518,,,
2024-08-05,600036.SH,32.2,32.52,32.05,32.1,32.28,-0.18,-0.5576,584419.84,1884940.815,-0.005576208178438624,-0.00559181326577783,32.44799999999999,,,
2024-08-06,600036.SH,32.36,32.39,31.51,31.7,32.1,-0.4,-1.2461,514388.64,1637765.272,-0.012461059190031265,-0.012539349252735364,32.304,,,
2024-08-07,600036.SH,31.73,31.9,31.55,31.58,31.7,-0.12,-0.3785,390731.73,1238023.516,-0.003785488958990557,-0.003792672055738919,32.074,,,
2024-08-08,600036.SH,31.61,31.98,31.38,31.93,31.58,0.35,1.1083,394599.78,1252394.782,0.011082963901203335,0.011021997899194658,31.918,,,
2024-08-09,600036.SH,31.97,32.58,31.81,32.33,31.93,0.4,1.2527,482748.47,1561254.687,0.012527403695584027,0.012449585010651004,31.927999999999997,,,
2024-08-12,600036.SH,32.3,32.34,31.93,32.12,32.33,-0.21,-0.6496,318943.21,1023447.632,-0.006495515001546548,-0.006516702658780788,31.932,,,
2024-08-13,600036.SH,32.1,32.23,31.76,31.94,32.12,-0.18,-0.5604,282377.69,902009.896,-0.005603985056039762,-0.0056197462916944595,31.98,,,
2024-08-14,600036.SH,31.9,32.14,31.81,31.86,31.94,-0.08,-0.2505,282446.1,901196.911,-0.00250469630557304,-0.002507838304964,32.035999999999994,,,
2024-08-15,600036.SH,31.85,32.92,31.65,32.76,31.86,0.9,2.8249,739789.83,2409557.383,0.02824858757062132,0.027856954502966064,32.202,,,
2024-08-16,600036.SH,32.75,33.25,32.72,33.15,32.76,0.39,1.1905,418503.02,1383877.362,0.011904761904761862,0.011834457647002798,32.366,,,
2024-08-19,600036.SH,33.25,33.5,33.03,33.42,33.15,0.27,0.8145,422843.42,1409948.503,0.00814479638009069,0.008111806535376333,32.626,,,
2024-08-20,600036.SH,33.45,33.6,33.16,33.48,33.42,0.06,0.1795,423728.73,1415473.211,0.0017953321364450048,0.001793722454026679,32.934,,,
2024-08-21,600036.SH,33.3,33.43,32.82,33.24,33.48,-0.24,-0.7168,378101.05,1254587.421,-0.007168458781361853,-0.007194275634026973,33.21,,,
