date,ts_code,close,open,high,low,pre_close,change,pct_chg,volume,amount,returns,logReturns,ma5,ma20,ma60,volatility
2023-02-07,000300.SH,4094.2335,4098.3117,4107.3438,4077.9623,4086.8779,7.3556,0.18,91360072.0,183537351.577,0.001799809091433735,0.0017981913758129378,4139.965160000001,4088.8184549999996,,0.1337352720467495
2023-02-08,000300.SH,4076.1411,4099.8573,4111.4745,4072.6474,4094.2335,-18.0924,-0.4419,84786099.0,170591751.817,-0.0044189956435068956,-0.004428788264437137,4116.00674,4097.978125,,0.1360066771712257
2023-02-09,000300.SH,4130.8565,4067.5631,4130.8565,4064.7489,4076.1411,54.7154,1.3423,102289961.0,211722604.859,0.013423333161847628,0.013334038426391324,4105.94818,4106.09204,,0.12739692904591562
2023-02-10,000300.SH,4106.3097,4124.0986,4125.2893,4092.3472,4130.8565,-24.5468,-0.5942,96716733.0,195348320.573,-0.005942302764571972,-0.0059600285016594545,4098.88374,4112.363085,,0.13040322085025585
2023-02-13,000300.SH,4143.574,4098.8795,4146.45,4092.2729,4106.3097,37.2643,0.9075,128892577.0,251990181.554,0.009074887848814717,0.009033958487298481,4110.22296,4118.885805,,0.13109574955911546
2023-02-14,000300.SH,4145.2902,4151.247,4152.0487,4125.2583,4143.574,1.7162,0.0414,102499890.0,204915435.75,0.00041418350438560125,0.00041409775407470783,4120.434299999999,4125.27663,,0.13115455884634852
2023-02-15,000300.SH,4123.6893,4146.8547,4153.7159,4115.9671,4145.2902,-21.6009,-0.5211,121664508.0,219855528.966,-0.005210950007794479,-0.00522457435893855,4129.943939999999,4130.9595500000005,,0.13285767825264944
2023-02-16,000300.SH,4093.4876,4125.4087,4167.9003,4068.8591,4123.6893,-30.2017,-0.7324,159310585.0,281315625.589,-0.007323951394689221,-0.007350903203160604,4122.47016,4134.74047,,0.1364082254641129
2023-02-17,000300.SH,4034.507,4086.2237,4104.6398,4032.9285,4093.4876,-58.9806,-1.4408,116142589.0,225737746.955,-0.014408398354498475,-0.014513207296915924,4108.10962,4132.7469599999995,,0.1375880778136046
2023-02-20,000300.SH,4133.4896,4039.9623,4134.8623,4035.4762,4034.507,98.9826,2.4534,161794481.0,280122962.15,0.024534001304248543,0.02423787633960909,4106.09274,4132.523225,,0.15407292539298667
2023-02-21,000300.SH,4144.3536,4130.0632,4151.7994,4116.2716,4133.4896,10.864,0.2628,145776173.0,249674201.048,0.0026282877305414676,0.00262483982241926,4105.90542,4132.878795,,0.15435408036865636
2023-02-22,000300.SH,4106.9506,4118.9669,4134.8759,4101.8596,4144.3536,-37.403,-0.9025,104290295.0,191586158.991,-0.009025050372149734,-0.009066022844646674,4102.55768,4131.71061,,0.15766398468171705
2023-02-23,000300.SH,4103.6463,4106.2136,4132.3896,4088.2073,4106.9506,-3.3043,-0.0805,103564906.0,197193582.43,-0.0008045628793293957,-0.0008048867137512138,4104.58942,4129.09254,,0.15580883531640552
2023-02-24,000300.SH,4061.0457,4100.9897,4102.6094,4048.2374,4103.6463,-42.6006,-1.0381,100989425.0,191210465.053,-0.010381157849788436,-0.010435417917162276,4109.8971599999995,4123.06849,,0.15737502222779778
2023-02-27,000300.SH,4043.8444,4040.4571,4067.0296,4034.5237,4061.0457,-17.2013,-0.4236,93787630.0,187959491.145,-0.004235682449966083,-0.00424467836441928,4091.9681200000005,4115.19346,,0.1559384567173579
2023-02-28,000300.SH,4069.4587,4058.1298,4074.2639,4026.4476,4043.8444,25.6143,0.6334,110323591.0,198799712.379,0.00633414579453162,0.006314169404260476,4076.98914,4110.823504999999,,0.1549458969929458
