date,ts_code,close,open,high,low,pre_close,change,pct_chg,volume,amount,returns,logReturns,ma5,ma20,ma60,volatility
2024-11-25,000300.SH,3848.0909,3875.6126,3889.7069,3812.3179,3865.6989,-17.608,-0.4555,190702953.0,349006773.18,,,,,,
2024-11-26,000300.SH,3840.1847,3836.259,3875.229,3833.2842,3848.0909,-7.9062,-0.2055,149892441.0,264403254.8,-0.002054577245043876,-0.002056690784321142,,,,
2024-11-27,000300.SH,3907.0447,3829.3442,3907.164,3817.9125,3840.1847,66.86,1.7411,174136096.0,320632355.477,0.01741062090060419,0.017260792609562207,,,,
2024-11-28,000300.SH,3872.5505,3904.2525,3908.3918,3866.0136,3907.0447,-34.4942,-0.8829,150117291.0,286432871.224,-0.008828719057143108,-0.008867923115554377,,,,
2024-11-29,000300.SH,3916.5832,3869.8903,3962.7002,3869.8903,3872.5505,44.0327,1.137,187656713.0,375262017.919,0.011370465020404508,0.01130630716142679,3876.8907999999997,,,
