date,ts_code,open,high,low,close,pre_close,change,pct_chg,volume,amount,returns,logReturns,ma5,ma20,ma60,volatility
2024-11-29,601398.SH,6.19,6.23,6.14,6.15,6.19,-0.04,-0.6462,2906465.13,1796519.084,,,,,,
2024-12-02,601398.SH,6.16,6.16,6.1,6.13,6.15,-0.02,-0.3252,2417479.89,1480654.067,-0.003252032520325243,-0.0032573318703065105,,,,
2024-12-03,601398.SH,6.13,6.21,6.12,6.21,6.13,0.08,1.3051,3385172.03,2090169.39,0.013050570962479524,0.012966145997267283,,,,
2024-12-04,601398.SH,6.21,6.28,6.17,6.26,6.21,0.05,0.8052,3572315.31,2228037.037,0.008051529790660261,0.008019289166619797,,,,
2024-12-05,601398.SH,6.25,6.33,6.23,6.26,6.26,0.0,0.0,2645283.22,1659231.378,0.0,0.0,6.202,,,
2024-12-06,601398.SH,6.26,6.34,6.25,6.32,6.26,0.06,0.9585,3119630.37,1968098.516,0.009584664536741228,0.00953902304675891,6.236,,,
2024-12-09,601398.SH,6.3,6.37,6.28,6.32,6.32,0.0,0.0,3127432.96,1982868.64,0.0,0.0,6.273999999999999,,,
2024-12-10,601398.SH,6.35,6.45,6.33,6.42,6.32,0.1,1.5823,4372946.05,2792561.332,0.015822784810126445,0.015698909543103615,6.316,,,
2024-12-11,601398.SH,6.4,6.45,6.3,6.31,6.42,-0.11,-1.7134,3870003.36,2461585.21,-0.017133956386292892,-0.017282441148748075,6.326,,,
2024-12-12,601398.SH,6.32,6.42,6.31,6.42,6.31,0.11,1.7433,2901844.74,1851706.028,0.017432646592709933,0.017282441148747968,6.358,,,
2024-12-13,601398.SH,6.4,6.45,6.36,6.39,6.42,-0.03,-0.4673,3890984.41,2494595.254,-0.004672897196261738,-0.004683849312426426,6.372,,,
2024-12-16,601398.SH,6.39,6.58,6.38,6.53,6.39,0.14,2.1909,4715725.94,3074595.963,0.021909233176838905,0.02167267489889635,6.414,,,
2024-12-17,601398.SH,6.52,6.59,6.51,6.51,6.53,-0.02,-0.3063,3138477.22,2053036.753,-0.003062787136294043,-0.0030674870678618345,6.4319999999999995,,,
2024-12-18,601398.SH,6.54,6.65,6.53,6.59,6.51,0.08,1.2289,3489424.53,2301576.369,0.01228878648233489,0.012213892293937998,6.4879999999999995,,,
2024-12-19,601398.SH,6.57,6.61,6.48,6.49,6.59,-0.1,-1.5175,3615285.11,2360581.313,-0.015174506828528056,-0.015290817798417207,6.502,,,
2024-12-20,601398.SH,6.5,6.61,6.5,6.53,6.49,0.04,0.6163,3765488.42,2467195.131,0.006163328197226425,0.00614441257234099,6.529999999999999,,,
2024-12-23,601398.SH,6.53,6.76,6.53,6.7,6.53,0.17,2.6034,4871100.27,3253676.275,0.026033690658499253,0.025700583108580703,6.564,,,
2024-12-24,601398.SH,6.71,6.79,6.65,6.78,6.7,0.08,1.194,4641473.68,3126875.532,0.011940298507462588,0.011869575555383729,6.618,,,
2024-12-25,601398.SH,6.77,7.04,6.76,6.94,6.78,0.16,2.3599,6360901.32,4411842.457,0.02359882005899716,0.02332467256640904,6.688,,,
2024-12-26,601398.SH,6.94,6.94,6.79,6.93,6.94,-0.01,-0.1441,4872522.64,3343500.772,-0.0014409221902018654,-0.0014419613169014062,6.776000000000001,6.4595,,
2024-12-27,601398.SH,6.89,6.94,6.76,6.92,6.93,-0.01,-0.1443,5107040.6,3503590.982,-0.0014430014430013571,-0.0014440435722335803,6.854000000000001,6.498,,0.19205222622405227
2024-12-30,601398.SH,6.88,7.0,6.87,6.95,6.92,0.03,0.4335,4823303.17,3342787.449,0.004335260115607031,0.004325889947122661,6.904000000000001,6.539,,0.1890776758705487
2024-12-31,601398.SH,6.94,7.03,6.9,6.92,6.95,-0.03,-0.4317,5209801.74,3632600.718,-0.004316546762589968,-0.004325889947122606,6.9319999999999995,6.5745000000000005,,0.1909722839467601
2025-01-02,601398.SH,6.91,6.98,6.76,6.8,6.92,-0.12,-1.7341,5314824.65,3636887.2,-0.017341040462427793,-0.01749315744751723,6.903999999999999,6.6015,,0.20705849965434284
2025-01-03,601398.SH,6.81,6.83,6.62,6.71,6.8,-0.09,-1.3235,5210739.86,3493034.297,-0.013235294117647012,-0.013323661198470543,6.859999999999999,6.624,,0.21578727750613208
2025-01-06,601398.SH,6.71,6.78,6.59,6.75,6.71,0.04,0.5961,4742246.52,3180308.148,0.005961251862891315,0.005943553900848137,6.8260000000000005,6.6455,,0.21482768968951466
2025-01-07,601398.SH,6.61,6.71,6.56,6.69,6.61,0.08,1.2103,3820217.77,2534162.279,-0.008888888888888835,-0.008928630744301318,6.773999999999999,6.664,,0.21896170508529636
2025-01-08,601398.SH,6.69,6.84,6.67,6.76,6.69,0.07,1.0463,3996842.84,2703647.491,0.010463378176382543,0.010409015914735524,6.742,6.681,,0.21557942207397118
2025-01-09,601398.SH,6.76,6.77,6.66,6.71,6.76,-0.05,-0.7396,2367234.19,1589593.952,-0.007396449704141994,-0.0074239390712822805,6.723999999999999,6.7010000000000005,,0.20628529755219582
2025-01-10,601398.SH,6.72,6.74,6.6,6.67,6.71,-0.04,-0.5961,2620257.88,1748468.963,-0.005961251862891204,-0.005979091056058071,6.715999999999999,6.713500000000001,,0.2014718821970739
2025-01-13,601398.SH,6.66,6.67,6.49,6.6,6.67,-0.07,-1.0495,3306032.82,2177310.84,-0.010494752623688153,-0.010550210895152486,6.686,6.723999999999999,,0.20505278700381666
2025-01-14,601398.SH,6.59,6.65,6.56,6.61,6.6,0.01,0.1515,3418852.64,2259932.309,0.0015151515151516914,0.001514004831215233,6.67,6.728,,0.19066402595237084
2025-01-15,601398.SH,6.6,6.73,6.58,6.63,6.61,0.02,0.3026,3075982.74,2046662.181,0.00302571860816947,0.003021150334176251,6.644,6.734,,0.19030454111325312
2025-01-16,601398.SH,6.64,6.69,6.57,6.68,6.63,0.05,0.7541,2674681.38,1778119.565,0.007541478129713397,0.007513183350783192,6.638,6.7385,,0.18728558962419917
2025-01-17,601398.SH,6.67,6.7,6.6,6.61,6.68,-0.07,-1.0479,2781346.35,1846159.116,-0.010479041916167553,-0.010534333684959327,6.626,6.7444999999999995,,0.18267717335713943
