date,ts_code,close,open,high,low,pre_close,change,pct_chg,volume,amount,returns,logReturns,ma5,ma20,ma60,volatility
2024-08-01,000300.SH,3419.2666,3443.1397,3448.3361,3419.1872,3442.0844,-22.8178,-0.6629,136323464.0,206038002.518,,,,,,
2024-08-02,000300.SH,3384.3919,3393.9167,3419.1023,3380.9645,3419.2666,-34.8747,-1.0199,116615255.0,179671192.428,-0.01019946792098625,-0.010251838902348195,,,,
2024-08-05,000300.SH,3343.3205,3362.1117,3409.0314,3343.3205,3384.3919,-41.0714,-1.2136,142812516.0,223631266.563,-0.01213553312191784,-0.012209769917402505,,,,
2024-08-06,000300.SH,3342.9789,3367.3517,3376.7956,3318.6251,3343.3205,-0.3416,-0.0102,119340279.0,181724693.848,-0.00010217387175404102,-0.00010217909185965092,,,,
2024-08-07,000300.SH,3341.489,3338.5909,3362.3839,3329.9658,3342.9789,-1.4899,-0.0446,95084377.0,145078975.326,-0.00044568034814695956,-0.0004457796931518292,3366.2893799999997,,,
2024-08-08,000300.SH,3342.9369,3332.4281,3364.7855,3320.8432,3341.489,1.4479,0.0433,92495695.0,149482926.227,0.0004333098208613162,0.00043321596927112054,3351.02344,,,
2024-08-09,000300.SH,3331.6274,3358.128,3366.6688,3331.6274,3342.9369,-11.3095,-0.3383,91511626.0,142852166.559,-0.0033831030433151277,-0.003388838676227704,3340.47054,,,
2024-08-12,000300.SH,3325.8645,3327.5561,3338.0771,3319.8908,3331.6274,-5.7629,-0.173,79938754.0,117544892.727,-0.001729755254143872,-0.0017312530081779588,3336.9793400000003,,,
2024-08-13,000300.SH,3334.3903,3328.0138,3335.014,3310.1909,3325.8645,8.5258,0.2563,84489679.0,125259155.343,0.0025634838701336093,0.002560203749851808,3335.26162,,,
2024-08-14,000300.SH,3309.2389,3332.7866,3332.7866,3309.1,3334.3903,-25.1514,-0.7543,78742407.0,118181952.004,-0.0075430281811941224,-0.007571620691752355,3328.8115999999995,,,
2024-08-15,000300.SH,3341.953,3301.4455,3356.7644,3297.9711,3309.2389,32.7141,0.9886,104766399.0,149249335.426,0.009885687007970434,0.009837143267467686,3328.6148200000002,,,
2024-08-16,000300.SH,3345.634,3342.0346,3356.9071,3335.6239,3341.953,3.681,0.1101,96519083.0,135885323.083,0.0011014517559044812,0.0011008456029771622,3331.41614,,,
2024-08-19,000300.SH,3356.9677,3344.2614,3375.9621,3343.7116,3345.634,11.3337,0.3388,105571110.0,143421671.337,0.003387609045101714,0.0033818840233607026,3337.63678,,,
2024-08-20,000300.SH,3332.7034,3361.6394,3362.3338,3321.6397,3356.9677,-24.2643,-0.7228,101668331.0,137910585.092,-0.007228040948979109,-0.007254289798614261,3337.2994,,,
2024-08-21,000300.SH,3321.635,3322.9134,3339.443,3307.9917,3332.7034,-11.0684,-0.3321,89954751.0,130005992.563,-0.003321147630479082,-0.0033266748825438617,3339.77862,,,
2024-08-22,000300.SH,3313.1357,3322.8723,3327.6962,3305.2453,3321.635,-8.4993,-0.2559,100366504.0,147702791.561,-0.002558770003326827,-0.0025620492503788703,3334.01516,,,
2024-08-23,000300.SH,3327.1905,3305.9307,3336.2414,3305.6403,3313.1357,14.0548,0.4242,89525774.0,132680886.5,0.004242144383038715,0.004233171854778825,3330.32646,,,
