date,ts_code,close,open,high,low,pre_close,change,pct_chg,volume,amount,returns,logReturns,ma5,ma20,ma60,volatility
2024-03-01,000300.SH,3537.8038,3515.0587,3544.3595,3503.459,3516.0826,21.7212,0.6178,162709570.0,288575619.225,,,,,,
2024-03-04,000300.SH,3540.8686,3538.366,3548.6901,3519.7599,3537.8038,3.0648,0.0866,163244613.0,297719931.809,0.000866300160568434,0.0008659251391561114,,,,
2024-03-05,000300.SH,3565.5143,3524.9644,3570.6935,3519.0816,3540.8686,24.6457,0.696,166422389.0,299895929.709,0.006960354304025973,0.0069362428561649415,,,,
2024-03-06,000300.SH,3551.0481,3556.5323,3577.3883,3545.1013,3565.5143,-14.4662,-0.4057,143076613.0,248294165.707,-0.0040572547977159035,-0.004065507786512169,,,,
2024-03-07,000300.SH,3529.7195,3548.1007,3569.9185,3522.8964,3551.0481,-21.3286,-0.6006,148110510.0,251839533.036,-0.00600628304640527,-0.006024393317779147,3544.9908600000003,,,
2024-03-08,000300.SH,3544.9099,3529.5509,3548.5055,3511.577,3529.7195,15.1904,0.4304,125792664.0,225379101.014,0.00430357143110105,0.004294337550533564,3546.4120800000005,,,
2024-03-11,000300.SH,3589.2635,3545.9427,3589.2635,3542.2789,3544.9099,44.3536,1.2512,148202825.0,286418582.155,0.012511911797814745,0.012434284667935624,3556.09106,,,
2024-03-12,000300.SH,3597.4939,3592.5826,3605.6976,3574.2117,3589.2635,8.2304,0.2293,180685560.0,339997042.337,0.0022930609580489314,0.002290435905940713,3562.48698,,,
2024-03-13,000300.SH,3572.361,3594.4211,3594.4211,3563.3685,3597.4939,-25.1329,-0.6986,144590590.0,266898756.38,-0.006986224493667703,-0.007010742418553548,3566.74956,,,
2024-03-14,000300.SH,3562.2229,3571.7885,3597.46,3545.612,3572.361,-10.1381,-0.2838,140962722.0,263803609.335,-0.0028379270739994356,-0.0028419616240185283,3573.25024,,,
2024-03-15,000300.SH,3569.993,3554.9068,3572.8091,3533.6798,3562.2229,7.7701,0.2181,138316044.0,243991558.366,0.0021812503647651305,0.0021788748918951115,3578.2668599999997,,,
2024-03-18,000300.SH,3603.528,3577.0564,3604.0519,3573.404,3569.993,33.535,0.9394,160379438.0,295314840.611,0.009393575841745383,0.009349730570252965,3581.11976,,,
2024-03-19,000300.SH,3577.6303,3593.3396,3610.7389,3577.188,3603.528,-25.8977,-0.7187,145571786.0,259553448.413,-0.007186762528277879,-0.0072127117079038095,3577.14704,,,
2024-03-20,000300.SH,3585.3838,3568.7158,3589.5456,3568.4341,3577.6303,7.7535,0.2167,129528966.0,223752103.886,0.0021672166629402856,0.0021648716364173998,3579.7516000000005,,,
2024-03-21,000300.SH,3581.0902,3593.07,3601.1145,3575.0331,3585.3838,-4.2936,-0.1198,130743377.0,233162492.63,-0.0011975286997168988,-0.0011982463101735089,3583.52506,,,
2024-03-22,000300.SH,3545.0023,3571.2736,3575.7171,3522.8404,3581.0902,-36.0879,-1.0077,139227358.0,248850931.022,-0.010077350187939982,-0.010128470408895992,3578.5269199999993,,,
2024-03-25,000300.SH,3525.7634,3536.7136,3564.9604,3525.7634,3545.0023,-19.2389,-0.5427,137015724.0,233747256.235,-0.005427048665102463,-0.005441828592219171,3562.9740000000006,,,
2024-03-26,000300.SH,3543.7467,3526.6818,3547.6461,3518.6018,3525.7634,17.9833,0.5101,126209535.0,226730734.844,0.005100540779338747,0.005087577083770784,3556.1972800000003,,,
2024-03-27,000300.SH,3502.7866,3538.7244,3542.9624,3502.7866,3543.7467,-40.9601,-1.1558,128626763.0,216404726.566,-0.011558416407132066,-0.011625734128965096,3539.6778400000003,,,
2024-03-28,000300.SH,3520.9648,3498.482,3551.2143,3489.3861,3502.7866,18.1782,0.519,143334717.0,232530806.335,0.0051896395858086475,0.005176219815450503,3527.65276,3557.35473,,
2024-03-29,000300.SH,3537.4843,3516.883,3538.2378,3516.883,3520.9648,16.5195,0.4692,128643290.0,201749384.357,0.004691753805661447,0.004680781833917402,3526.14916,3557.3387549999998,,0.10487406952403307
2024-04-01,000300.SH,3595.6466,3551.5815,3600.9193,3551.5815,3537.4843,58.1623,1.6442,162776561.0,251637272.845,0.01644171254696447,0.016308011120952714,3540.1258000000003,3560.077655,,0.12002693985543327
2024-04-02,000300.SH,3580.6759,3593.2206,3596.1903,3568.7539,3595.6466,-14.9707,-0.4164,141272972.0,220207515.543,-0.004163562681605004,-0.0041722544428915275,3547.5116399999997,3560.8357349999997,,0.11893845092269958
2024-04-03,000300.SH,3567.8031,3578.6835,3582.4324,3558.874,3580.6759,-12.8728,-0.3595,135592331.0,214222897.58,-0.0035950754437171772,-0.003601553257586781,3560.51494,3561.6734850000003,,0.11872816598655053
2024-04-08,000300.SH,3536.4077,3553.5554,3567.82,3535.7688,3567.8031,-31.3954,-0.88,155304283.0,243249251.687,-0.00879964480102613,-0.008838590314792913,3563.6035199999997,3562.007895,,0.12107498113316033
2024-04-09,000300.SH,3533.4871,3533.3849,3543.7141,3518.8601,3536.4077,-2.9206,-0.0826,129670942.0,195893525.575,-0.000825866316262247,-0.0008262075317269229,3562.8040800000003,3561.436755,,0.12009053820567617
2024-04-10,000300.SH,3504.7086,3528.9679,3531.2295,3490.0525,3533.4871,-28.7785,-0.8145,128790274.0,199754768.626,-0.008144504050969892,-0.008177851714302322,3544.6164799999997,3557.20901,,0.11344023420355759
2024-04-11,000300.SH,3504.2447,3485.0294,3520.5893,3484.9252,3504.7086,-0.4639,-0.0132,126534395.0,200293481.886,-0.00013236478490674664,-0.00013237354589799467,3529.3302400000002,3552.54655,,0.11278383238196138
2024-04-12,000300.SH,3475.8389,3505.7499,3516.6988,3470.0611,3504.2447,-28.4058,-0.8106,128921116.0,208566204.703,-0.008106111996117216,-0.008139145156742146,3510.9374000000003,3547.720445,,0.11360131854402665
2024-04-15,000300.SH,3549.0759,3473.5047,3552.4125,3473.5047,3475.8389,73.237,2.107,183941250.0,267472484.531,0.021070309098617734,0.02085139978770184,3513.4710400000004,3547.063095,,0.13842047356864828
2024-04-16,000300.SH,3511.1146,3533.3636,3545.5034,3503.6158,3549.0759,-37.9613,-1.0696,176153065.0,253315972.272,-0.010696108246093017,-0.010753722814637892,3508.99654,3544.119175,,0.1430163703244546
2024-04-17,000300.SH,3565.403,3509.1318,3565.9389,3498.0324,3511.1146,54.2884,1.5462,168466398.0,244987812.753,0.015461870711938497,0.015343554028548092,3521.13542,3542.212925,,0.15019107754379887
2024-04-18,000300.SH,3569.8018,3550.5562,3602.7902,3547.5996,3565.403,4.3988,0.1234,178574105.0,261329927.268,0.0012337455261020036,0.0012329850874846476,3534.24684,3541.8215000000005,,0.14817151434657327
2024-04-19,000300.SH,3541.6619,3550.6087,3560.9492,3529.3237,3569.8018,-28.1399,-0.7883,147281505.0,226229520.121,-0.007882762566818191,-0.007913995783959946,3547.41144,3539.6354049999995,,0.15043752639159855
2024-04-22,000300.SH,3530.9045,3536.1844,3558.1642,3528.0186,3541.6619,-10.7574,-0.3037,150579042.0,229511183.118,-0.003037387617378151,-0.0030420098411770608,3543.77716,3537.12612,,0.15068074453083774
2024-04-23,000300.SH,3506.2249,3525.6681,3533.7584,3499.9838,3530.9045,-24.6796,-0.699,143113504.0,213257232.211,-0.006989597141468962,-0.007014138799965217,3542.79922,3535.18725,,0.14850490114047307
2024-04-24,000300.SH,3521.6219,3514.0108,3524.537,3495.6494,3506.2249,15.397,0.4391,121739851.0,195299919.746,0.004391332683764793,0.004381718916951932,3534.043,3534.9801749999997,,0.148281236125398
2024-04-25,000300.SH,3530.2813,3510.6396,3543.9699,3505.1999,3521.6219,8.6594,0.2459,115187722.0,184524622.001,0.0024589238271151004,0.0024559056206020905,3526.1389000000004,3534.306905,,0.1473655814158654
2024-04-26,000300.SH,3584.2686,3531.9647,3588.4003,3531.9647,3530.2813,53.9873,1.5293,197216133.0,308045062.251,0.01529263404590453,0.015176880345412834,3534.66024,3538.381005,,0.15058192355207373
2024-04-29,000300.SH,3623.9124,3584.5427,3645.8229,3578.7597,3584.2686,39.6438,1.106,222721381.0,358709708.838,0.011060499204775143,0.010999779202213969,3553.2618199999997,3543.528385,,0.15405068604723682
2024-04-30,000300.SH,3604.3943,3619.2586,3630.7092,3604.3943,3623.9124,-19.5181,-0.5386,191296899.0,286674161.758,-0.00538591937266486,-0.005400475726166257,3572.8957,3546.873885,,0.15541692637218074
2024-05-06,000300.SH,3657.8767,3654.0485,3668.2565,3645.738,3604.3943,53.4824,1.4838,208018007.0,333270472.13,0.014838110247816116,0.01472910247991278,3600.14666,3549.9853900000003,,0.15339239936612417
2024-05-07,000300.SH,3659.0076,3657.0007,3665.684,3648.376,3657.8767,1.1309,0.0309,164834286.0,247368347.983,0.0003091684309644016,0.0003091206482533993,3625.8919199999996,3553.9019749999998,,0.15225058501314587
2024-05-08,000300.SH,3630.2233,3650.7484,3650.9355,3628.6984,3659.0076,-28.7843,-0.7867,130035336.0,199923460.35,-0.007866695876772689,-0.007897801568855183,3635.08286,3557.0229849999996,,0.1547420543613057
2024-05-09,000300.SH,3664.561,3630.4142,3669.7593,3630.4142,3630.2233,34.3377,0.9459,146559017.0,232694927.941,0.009458839625650528,0.009414384908953369,3643.2125799999994,3563.43065,,0.1531068792799873
