date,ts_code,open,high,low,close,pre_close,change,pct_chg,volume,amount,returns,logReturns,ma5,ma20,ma60,volatility
2023-07-13,601288.SH,3.55,3.61,3.55,3.61,3.55,0.06,1.6901,3171887.4,1137487.358,,,,,,
2023-07-14,601288.SH,3.61,3.63,3.59,3.61,3.61,0.0,0.0,2954278.55,1066540.158,0.0,0.0,,,,
2023-07-17,601288.SH,3.62,3.63,3.58,3.62,3.61,0.01,0.277,4323828.87,1561075.059,0.0027700831024930483,0.00276625349289011,,,,
2023-07-18,601288.SH,3.42,3.44,3.4,3.4,3.4,0.0,0.0,4001720.56,1368897.286,-0.06077348066298349,-0.06269859421556405,,,,
2023-07-19,601288.SH,3.4,3.41,3.37,3.4,3.4,0.0,0.0,2728502.65,923560.813,0.0,0.0,3.528,,,
2023-07-20,601288.SH,3.4,3.43,3.39,3.42,3.4,0.02,0.5882,2087402.44,713587.887,0.00588235294117645,0.005865119452398058,3.4899999999999998,,,
2023-07-21,601288.SH,3.41,3.43,3.41,3.41,3.42,-0.01,-0.2924,1494400.01,510819.856,-0.0029239766081871066,-0.002928259779088334,3.45,,,
2023-07-24,601288.SH,3.41,3.43,3.39,3.43,3.41,0.02,0.5865,1561232.92,532977.052,0.0058651026392961825,0.00584796988242312,3.412,,,
2023-07-25,601288.SH,3.44,3.49,3.43,3.49,3.43,0.06,1.7493,3195089.54,1104864.187,0.017492711370262315,0.017341475036487173,3.4299999999999997,,,
2023-07-26,601288.SH,3.48,3.5,3.46,3.48,3.49,-0.01,-0.2865,1784601.45,619755.83,-0.002865329512894088,-0.0028694424279529316,3.446,,,
2023-07-27,601288.SH,3.49,3.58,3.48,3.54,3.48,0.06,1.7241,3004812.3,1063454.678,0.01724137931034475,0.01709443335930004,3.47,,,
2023-07-28,601288.SH,3.53,3.62,3.52,3.61,3.54,0.07,1.9774,3274326.93,1174131.754,0.0197740112994349,0.019581045199106344,3.5100000000000002,,,
2023-07-31,601288.SH,3.62,3.71,3.58,3.62,3.61,0.01,0.277,4413073.91,1601084.217,0.0027700831024930483,0.00276625349289011,3.5479999999999996,,,
2023-08-01,601288.SH,3.61,3.65,3.59,3.63,3.62,0.01,0.2762,2148569.5,778557.012,0.0027624309392264568,0.0027586224390796607,3.5759999999999996,,,
